challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-F2F,mol2vec,scaffold-generic,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96465,0.30476,0.18022,0.98222
t-F2F,mol2vec,scaffold-generic,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-1.11142,1.47208,1.25037,0.47003
t-F2F,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96286,0.29199,0.17696,0.98143
t-F2F,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.8881,0.5061,0.31529,0.94243
t-F2F,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96841,0.29202,0.17688,0.9842
t-F2F,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.9046,0.5068,0.31537,0.95114
t-F2F,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.95961,0.3002,0.178,0.97969
t-F2F,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.54291,1.00425,0.76994,0.76019
t-F2F,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96581,0.30001,0.17785,0.98282
t-F2F,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.60324,1.01485,0.77896,0.79402
t-F2F,Mordred,scaffold-generic,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,0.95664,0.31011,0.1832,0.97814
t-F2F,Mordred,scaffold-generic,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,25,200,sqrt,1.0,1,2,-0.57264,1.29904,1.09472,0.45867
t-F2F,Mordred,scaffold-generic,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,0.96412,0.30694,0.18128,0.98194
t-F2F,Mordred,scaffold-generic,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,75,200,sqrt,1.0,1,2,-0.67191,1.36153,1.14161,0.44811
